17,从Python开始学编程,Vamei,8.8,58
20,Python数据挖掘入门与实践,[澳]RobertLayton,7.6,22
16,EffectivePython,布雷特·斯拉特金（BrettSlatkin）,8.8,92
15,PythonAlgorithms,MagnusLieHetland,8.8,65
14,Python标准库,DougHellmann,8.4,115
1,利用Python进行数据分析,WesMcKinney,8.5,607
18,编写高质量代码：改善Python程序的91个建议,张颖,7.4,275
19,Python科学计算,张若愚,7.9,167
10,Python编程快速上手,斯维加特(AlSweigart),9.3,177
9,Python编程：从入门到实践,[美]埃里克·马瑟斯,9.0,318
12,HeadFirstPython（中文版）,巴里（Barry.P.）,7.9,484
5,DeepLearningwithPython,FrancoisChollet,-1,-1
13,机器学习实战,PeterHarrington,8.2,710
11,Python学习手册,[美]MarkLutz,8.2,827
6,FlaskWeb开发：基于Python的Web应用开发实战,[美]MiguelGrinberg,8.7,372
8,Python网络数据采集,[美]米切尔,7.7,219
3,FluentPython,LucianoRamalho,9.6,157
7,与孩子一起学编程,[美]桑德WarrenSande,8.5,323
4,Python基础教程,MagnusLieHetland,8.0,1587
2,Python源码剖析,陈儒,8.7,663
